animal-id,animal-nickname,animal-ring-id,animal-sex,animal-taxon,alt-project-id,animal-life-stage,animal-mass,attachment-type,deploy-off-timestamp,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-timestamp,deployment-end-type,deployment-id,location-accuracy-comments,manipulation-type,study-site,tag-firmware,tag-readout-method,sensor-type,tag-id,tag-manufacturer-name,tag-mass,tag-serial-no
5471388,,FAST,f,Larus fuscus,LBBG_TEXEL,adult,710,harness,2016-08-22T00:00:00Z,53.0086667,4.7191,,2013-06-06T10:15:00Z,dead,559,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,806,UvA-BiTS,16.8,806
5471390,,FASU,f,Larus fuscus,LBBG_TEXEL,adult,725,harness,2014-01-01T00:00:00Z,53.0092333,4.7178333,,2013-06-06T11:57:00Z,,560,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,868,UvA-BiTS,18.1,868
5471391,,MASK,m,Larus fuscus,LBBG_TEXEL,adult,885,harness,2016-01-01T00:00:00Z,53.0085333,4.7184833,,2013-06-06T12:25:00Z,,561,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,870,UvA-BiTS,18.1,870
5471393,,MASM,m,Larus fuscus,LBBG_TEXEL,adult,950,harness,2019-05-28T00:00:00Z,53.0084,4.71685,,2013-06-06T13:30:00Z,,562,provided by the GPS unit,none,,v1.0.4.0,other wireless,GPS,871,UvA-BiTS,18,871
5510084,,FBAH,f,Larus fuscus,LBBG_TEXEL,adult,790,harness,2018-01-01T00:00:00Z,53.0091567,4.7194754,,2016-06-05T09:17:00Z,,15213,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5387,UvA-BiTS,13.5,5387
5510056,,FBAK,f,Larus fuscus,LBBG_TEXEL,adult,745,harness,2017-01-01T00:00:00Z,53.0091567,4.7194754,,2016-06-05T10:11:00Z,,15214,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5388,UvA-BiTS,13.6,5388
5510093,,FBAN,f,Larus fuscus,LBBG_TEXEL,adult,660,harness,2020-06-01T00:00:00Z,53.0091567,4.7194754,,2016-06-05T13:55:00Z,dead,15216,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5391,UvA-BiTS,13.7,5391
5510089,,MAZW,m,Larus fuscus,LBBG_TEXEL,adult,955,harness,2019-06-06T00:00:00Z,53.0091567,4.7194754,,2016-06-05T12:15:00Z,,15217,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5390,UvA-BiTS,13.4,5390
5471561,,MAUX,m,Larus fuscus,LBBG_TEXEL,adult,835,harness,2017-05-01T00:00:00Z,53.0091567,4.7194754,,2016-06-08T08:45:00Z,equipment failure,15239,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5392,UvA-BiTS,13.4,5392
5510096,,MBAA,m,Larus fuscus,LBBG_TEXEL,adult,960,harness,2024-01-01T00:00:00Z,53.0091567,4.7194754,,2016-06-08T11:35:00Z,,15240,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5393,UvA-BiTS,13.7,5393
5510099,,MBAC,m,Larus fuscus,LBBG_TEXEL,adult,945,harness,2017-01-01T00:00:00Z,53.0091567,4.7194754,,2016-06-11T13:20:00Z,,15249,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5415,UvA-BiTS,13.6,5415
5510100,,MBAD,m,Larus fuscus,LBBG_TEXEL,adult,925,harness,2024-06-12T21:49:00Z,53.0091567,4.7194754,,2016-06-11T14:00:00Z,,15250,provided by the GPS unit,none,,v1.0.6.0,other wireless,GPS,5416,UvA-BiTS,13.7,5416
5510261,,NOPR,m,Larus fuscus,LBBG_TEXEL,adult,905,harness,2019-01-01T00:00:00Z,53.0091567,4.7194754,,2017-05-25T08:30:00Z,,15413,provided by the GPS unit,none,,v1.0.6.1,other wireless,GPS,5472,UvA-BiTS,18.2,5472
5471383,,MASF,m,Larus fuscus,LBBG_TEXEL,adult,935,harness,2025-05-26T08:55:00Z,53.0091567,4.7194754,,2017-05-25T08:53:00Z,,15414,provided by the GPS unit,none,,v1.0.6.1,other wireless,GPS,5473,UvA-BiTS,18.3,5473
5510262,,MBAL,m,Larus fuscus,LBBG_TEXEL,adult,915,harness,2025-05-26T09:10:00Z,53.0091567,4.7194754,,2017-05-25T09:25:00Z,,15415,provided by the GPS unit,none,,v1.0.6.1,other wireless,GPS,5496,UvA-BiTS,18.1,5496
5471545,,MAUN,m,Larus fuscus,LBBG_TEXEL,adult,975,harness,2017-06-01T23:59:00Z,53.0091567,4.7194754,,2017-05-25T10:55:00Z,,15416,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5586,UvA-BiTS,17.1,5586
5510088,,MAZV,m,Larus fuscus,LBBG_TEXEL,adult,980,harness,2017-05-27T00:00:00Z,53.0091567,4.7194754,,2017-05-25T11:55:00Z,equipment failure,15417,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5587,UvA-BiTS,17,5587
5510285,,MBBC,m,Larus fuscus,LBBG_TEXEL,adult,820,harness,2022-08-10T00:00:00Z,53.0091567,4.7194754,,2017-06-16T10:40:00Z,dead,15452,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5588,UvA-BiTS,17,5588
5510286,,MBBD,m,Larus fuscus,LBBG_TEXEL,adult,950,harness,2018-01-01T00:00:00Z,53.0091567,4.7194754,,2017-06-16T11:15:00Z,,15453,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5590,UvA-BiTS,17.2,5590
5510287,,MBBF,m,Larus fuscus,LBBG_TEXEL,adult,945,harness,2018-06-04T12:00:00Z,53.0091567,4.7194754,,2017-06-16T11:37:00Z,equipment failure,15454,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5591,UvA-BiTS,16.9,5591
5510288,,FBBT,f,Larus fuscus,LBBG_TEXEL,adult,770,harness,2025-06-16T17:28:00Z,53.0091567,4.7194754,,2017-06-16T12:25:00Z,,15455,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5592,UvA-BiTS,17,5592
5510290,,FBBU,f,Larus fuscus,LBBG_TEXEL,adult,720,harness,2025-06-16T17:31:00Z,53.0091567,4.7194754,,2017-06-16T12:45:00Z,,15456,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5593,UvA-BiTS,16.8,5593
5540286,,MBBL,m,Larus fuscus,LBBG_TEXEL,adult,940,harness,2020-07-26T00:00:00Z,53.0091567,4.7194754,,2018-06-02T14:50:00Z,,15664,provided by the GPS unit,none,,v1.0.7.0,other wireless,GPS,5693,UvA-BiTS,16.7,5693
5540287,,MBBN,m,Larus fuscus,LBBG_TEXEL,adult,870,harness,2020-07-30T00:00:00Z,53.0091567,4.7194754,,2018-06-02T15:28:00Z,,15665,provided by the GPS unit,none,,v1.0.7.0,other wireless,GPS,5694,UvA-BiTS,16.6,5694
5540289,,MBBP,m,Larus fuscus,LBBG_TEXEL,adult,920,harness,2022-07-22T00:00:00Z,53.0091567,4.7194754,,2018-06-03T09:00:00Z,,15666,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5594,UvA-BiTS,16.9,5594
5540290,,FBCJ,f,Larus fuscus,LBBG_TEXEL,adult,735,harness,2019-01-01T00:00:00Z,53.0091567,4.7194754,,2018-06-03T09:22:00Z,,15667,provided by the GPS unit,none,,v1.0.7.0,other wireless,GPS,5690,UvA-BiTS,17.1,5690
5540291,,MBBR,m,Larus fuscus,LBBG_TEXEL,adult,950,harness,2019-06-04T00:00:00Z,53.0091567,4.7194754,,2018-06-03T10:43:00Z,,15668,provided by the GPS unit,none,,v1.0.7.0,other wireless,GPS,5689,UvA-BiTS,16.8,5689
5540292,,MBBS,m,Larus fuscus,LBBG_TEXEL,adult,925,harness,2022-06-16T00:00:00Z,53.0091567,4.7194754,,2018-06-03T10:35:00Z,dead,15669,provided by the GPS unit,none,,v1.0.7.0,other wireless,GPS,5687,UvA-BiTS,16.6,5687
5460354,,MBBU,m,Larus fuscus,LBBG_TEXEL,adult,985,harness,2023-05-31T10:00:00Z,53.0091567,4.7194754,,2018-06-03T11:08:00Z,equipment failure,15670,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5603,UvA-BiTS,16.9,5603
5540293,,MBBW,m,Larus fuscus,LBBG_TEXEL,adult,840,harness,2019-03-28T00:00:00Z,53.0091567,4.7194754,,2018-06-03T11:50:00Z,,15671,provided by the GPS unit,none,,v1.0.7.0,other wireless,GPS,5692,UvA-BiTS,17,5692
5540294,,FBCK,f,Larus fuscus,LBBG_TEXEL,adult,825,harness,2020-07-12T00:00:00Z,53.0091567,4.7194754,,2018-06-03T12:32:00Z,,15672,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5601,UvA-BiTS,16.8,5601
5540295,,MBBX,m,Larus fuscus,LBBG_TEXEL,adult,840,harness,2019-03-28T00:00:00Z,53.0091567,4.7194754,,2018-06-03T12:55:00Z,,15673,provided by the GPS unit,none,,v1.0.6.5,other wireless,GPS,5599,UvA-BiTS,17,5599
5540431,,MBCU,m,Larus fuscus,LBBG_TEXEL,adult,895,harness,2021-06-06T10:45:00Z,53.0091567,4.7194754,,2019-05-28T11:10:00Z,,15827,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5697,UvA-BiTS,13.5,5697
5540432,,MBCV,m,Larus fuscus,LBBG_TEXEL,adult,895,harness,2021-11-19T00:00:00Z,53.0091567,4.7194754,,2019-05-28T12:03:00Z,dead,15828,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5698,UvA-BiTS,12.4,5698
5540434,,MBCW,m,Larus fuscus,LBBG_TEXEL,adult,945,harness,2020-05-28T00:00:00Z,53.0091567,4.7194754,,2019-05-28T13:30:00Z,,15829,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5699,UvA-BiTS,13.4,5699
5540449,,FBDV,f,Larus fuscus,LBBG_TEXEL,adult,645,harness,2020-08-09T00:00:00Z,53.0091567,4.7194754,,2019-05-31T11:58:00Z,,15838,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5702,UvA-BiTS,13.4,5702
5540447,,FBDU,f,Larus fuscus,LBBG_TEXEL,adult,745,harness,2020-05-25T00:00:00Z,53.0091567,4.7194754,,2019-05-31T10:12:00Z,,15839,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5700,UvA-BiTS,13.5,5700
5540448,,MBDJ,m,Larus fuscus,LBBG_TEXEL,adult,865,harness,2020-06-10T09:00:00Z,53.0091567,4.7194754,,2019-05-31T11:08:00Z,,15840,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5701,UvA-BiTS,13.3,5701
5540455,,FBDZ,f,Larus fuscus,LBBG_TEXEL,adult,775,harness,2020-07-25T00:00:00Z,53.0091567,4.7194754,,2019-06-06T13:00:00Z,,15862,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5704,UvA-BiTS,13.4,5704
5540456,,MBDN,m,Larus fuscus,LBBG_TEXEL,adult,935,harness,2024-07-16T00:00:00Z,53.0091567,4.7194754,,2019-06-06T13:00:00Z,,15863,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5705,UvA-BiTS,13.2,5705
5540572,,MBFN,m,Larus fuscus,LBBG_TEXEL,adult,905,harness,2020-07-04T00:00:00Z,53.0091567,4.7194754,,2020-06-02T09:10:00Z,dead,15965,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5992,UvA-BiTS,13.2,5992
5460263,,MBFP,m,Larus fuscus,LBBG_TEXEL,adult,855,harness,2021-06-07T00:00:00Z,53.0091567,4.7194754,,2020-06-02T09:05:00Z,,15966,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5993,UvA-BiTS,13.2,5993
5540574,,MBFR,m,Larus fuscus,LBBG_TEXEL,adult,850,harness,,53.0091567,4.7194754,,2020-06-02T10:10:00Z,,15967,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5995,UvA-BiTS,13.3,5995
5540576,,MBFU,m,Larus fuscus,LBBG_TEXEL,adult,945,harness,2022-07-29T00:00:00Z,53.0091567,4.7194754,,2020-06-02T10:53:00Z,,15968,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5996,UvA-BiTS,13.3,5996
5540577,,MBFV,m,Larus fuscus,LBBG_TEXEL,adult,810,harness,2023-07-24T00:00:00Z,53.0091567,4.7194754,,2020-06-02T11:18:00Z,,15969,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5997,UvA-BiTS,13.3,5997
5540579,,MBFX,m,Larus fuscus,LBBG_TEXEL,adult,925,harness,2022-07-16T00:00:00Z,53.0091567,4.7194754,,2020-06-02T12:27:00Z,,15970,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5998,UvA-BiTS,13.4,5998
5540441,,MBDC,m,Larus fuscus,LBBG_TEXEL,adult,850,harness,2021-07-20T00:00:00Z,53.0091567,4.7194754,,2020-06-02T13:02:00Z,,15971,provided by the GPS unit,none,,v1.0.9.1,other wireless,GPS,5999,UvA-BiTS,13.3,5999
5557668,,FBHW,f,Larus fuscus,LBBG_TEXEL,adult,790,harness,,53.0091567,4.7194754,,2021-06-04T07:12:00Z,,16106,provided by the GPS unit,none,,v1.0.9.4,other wireless,GPS,7045,UvA-BiTS,13.7,7045
5557671,,FBHZ,f,Larus fuscus,LBBG_TEXEL,adult,725,harness,,53.0091567,4.7168167,,2021-06-04T08:28:00Z,,16107,provided by the GPS unit,none,,v1.0.9.4,other wireless,GPS,7048,UvA-BiTS,13.7,7048
5557672,,MBJH,m,Larus fuscus,LBBG_TEXEL,adult,860,harness,,53.0091567,4.7194754,,2021-06-04T08:48:00Z,,16108,provided by the GPS unit,none,,v1.0.9.4,other wireless,GPS,7050,UvA-BiTS,13.7,7050
